State,Crime Count
Alabama,2182
Alaska,447
Arizona,4569
Arkansas,1876
California,24293
Colorado,1882
Connecticut,1266
Delaware,502
District of Columbia,1352
Florida,12709
Georgia,6447
Hawaii,271
Idaho,345
Illinois,5358
Indiana,3559
Iowa,549
Kansas,1172
Kentucky,2051
Louisiana,5501
Maine,302
Maryland,5249
Massachusetts,1857
Michigan,7146
Minnesota,1211
Mississippi,1894
Missouri,4557
Montana,255
Nebraska,460
Nevada,2027
New Hampshire,163
New Jersey,4375
New Mexico,1499
New York,8766
North Carolina,5772
North Dakota,114
Ohio,5464
Oklahoma,2430
Oregon,1020
Pennsylvania,7978
Rhodes Island,319
South Carolina,3593
South Dakota,184
Tennessee,4667
Texas,15189
Utah,609
Vermont,128
Virginia,4184
Washington,2199
West Virginia,768
Wisconsin,1903
Wyoming,155
